pdr_db,method,ber,ci_low,ci_high,frames,bits,errors,target_bit_errors,max_bits,min_frames,modulation,data_snr_db,solver,effective_channel_method
0.0,conventional,0.03780789099348656,0.03739924026887568,0.03822082963217433,722,828134,31310,200,2000000,20,bpsk,18.0,dense,fast
0.0,teacher,0.00044195746099061264,0.0003989475036692672,0.0004896019889181743,722,828134,366,200,2000000,20,bpsk,18.0,dense,fast
0.0,student,0.000533730048518718,0.00048624887181301923,0.0005858449444249895,722,828134,442,200,2000000,20,bpsk,18.0,dense,fast
0.0,perfect,0.00024875201356302243,0.0002170266107118882,0.0002851137794533063,722,828134,206,200,2000000,20,bpsk,18.0,dense,fast
5.0,conventional,0.062276190898388824,0.06175266727577855,0.06280385573446522,708,812076,50573,200,2000000,20,bpsk,18.0,dense,fast
5.0,teacher,0.0004864076761288352,0.00044075635857967154,0.0005367847873680433,708,812076,395,200,2000000,20,bpsk,18.0,dense,fast
5.0,student,0.0005381269733374708,0.0004899944207781509,0.0005909848302813744,708,812076,437,200,2000000,20,bpsk,18.0,dense,fast
5.0,perfect,0.00033863825553273337,0.00030091523266641523,0.0003810884701046978,708,812076,275,200,2000000,20,bpsk,18.0,dense,fast
20.0,conventional,0.3428468897870549,0.3418498511949404,0.34384531709893196,758,869426,298080,200,2000000,20,bpsk,18.0,dense,fast
20.0,teacher,0.0012260962980173125,0.001154709602166462,0.0013018905246901858,758,869426,1066,200,2000000,20,bpsk,18.0,dense,fast
20.0,student,0.0031089477425335797,0.002994102249451484,0.003228184128185951,758,869426,2703,200,2000000,20,bpsk,18.0,dense,fast
20.0,perfect,0.00023463756547423243,0.0002045758001044833,0.0002691156229201317,758,869426,204,200,2000000,20,bpsk,18.0,dense,fast
